Country ,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Marshall Islands,MHL,3252.367857,3285.582535,3258.500774,3425.601546,3443.028342,3519.218145,3585.710747,3780.93897,3989.037658
Middle income,MIC,8294.051321,8946.472562,9487.995529,10026.71006,10568.27138,10982.11721,11508.83453,12216.2633,12983.19953
North Macedonia,MKD,11273.857,11611.25115,11839.61687,12653.59655,13368.14674,13831.22799,14813.35745,15298.95193,16358.66205
Mali,MLI,1836.816217,1877.892828,1842.686602,1863.367757,1974.217655,2053.128574,2131.589703,2221.757886,2316.6552
Malta,MLT,27809.1065,28585.82045,29437.16903,31080.26838,33391.11068,36195.56319,38347.86857,41510.28901,42581.09786
Myanmar,MMR,3613.019143,3864.959768,4193.132339,4587.086831,5005.999653,5372.241161,5709.871361,6172.392649,6674.028647
Montenegro,MNE,13634.99696,14472.45826,13863.88105,14870.22694,15371.1069,16337.25379,17866.47225,19355.01984,20689.98675
Mongolia,MNG,7530.75353,8853.125419,9939.570296,11068.45656,11925.8134,12100.12735,12140.84709,12791.57934,13799.90485
Mozambique,MOZ,1010.752656,1078.208603,1146.642098,1213.929695,1291.74681,1354.391906,1381.315497,1418.485398,1459.698413
Mauritania,MRT,3356.361346,3483.522101,3646.727568,3822.312546,3993.317015,3937.947108,3940.244577,4023.499238,4150.965246
Mauritius,MUS,15612.29342,16561.77098,17421.14502,18282.22808,19290.69193,20162.99668,21151.24777,22355.19052,23750.98804
Malawi,MWI,1055.49399,1097.942135,1107.97055,1152.848569,1207.29441,1220.229587,1230.416571,1269.644595,1310.995555
Malaysia,MYS,20605.20111,21806.82279,23105.07529,24279.37169,25875.50267,27116.57626,28246.75055,30025.17655,31782.15336
North America,NAC,47630.90574,49058.92453,50666.43223,52215.94354,54092.87647,55578.09015,56608.44707,58594.47232,61303.19065
Namibia,NAM,8500.097148,8959.515893,9427.082267,9955.453108,10598.66867,11160.37964,11200.42787,11104.41938,11101.82628
Niger,NER,795.6828256,799.258376,876.2759995,902.6625995,951.1605867,964.8380788,984.6831336,1012.859196,1063.421841
Nigeria,NGA,4981.358232,5213.837194,5392.096403,5698.166678,6009.989453,6072.477295,5882.98734,5887.573078,5990.850432
Nicaragua,NIC,3887.787537,4163.256335,4458.726178,4697.737392,4950.081248,5174.972123,5400.248939,5687.231512,5533.551064
Netherlands,NLD,45040.31808,46599.02103,47272.10302,49241.51784,49233.2154,50302.06775,51338.57326,54503.08193,56328.94114
Norway,NOR,57915.01937,62076.74066,65354.77925,66961.2531,65892.68928,60385.11676,57744.27451,62012.40776,65510.58527
Nepal,NPL,1946.058721,2052.547197,2196.118851,2333.145473,2520.689553,2621.766575,2641.971128,2874.983331,3089.556352
Nauru,NRU,6470.453571,7339.304367,8056.696421,10451.93901,13273.48365,13104.48037,13982.20157,15039.31757,16504.25793
New Zealand,NZL,31253.0536,32734.53667,32986.18289,36219.42401,37260.6294,37475.17836,39122.54213,40438.57095,41005.42087
OECD members,OED,35247.87046,36707.45905,37698.8917,39016.25287,40169.9652,41321.40507,42379.5574,44202.23048,45623.90308
Oman,OMN,44408.58742,41942.12056,43436.87778,42862.89365,41950.78764,41911.08648,42375.54543,41563.63827,41859.93448
Other small states,OSS,21348.95705,23023.18244,23819.66822,24501.02062,25120.43334,25554.35886,25918.99758,26472.76437,27067.52837
Pakistan,PAK,3988.656725,4094.527112,4228.513001,4398.38123,4593.96424,4762.296721,4975.654395,5241.938741,5567.055608
Panama,PAN,15311.02913,17099.81883,18806.56302,20111.95122,21167.17679,22237.09305,23195.81113,24472.00985,25553.69671
Peru,PER,9869.070416,10626.07713,11400.33573,12169.12008,12561.24545,12944.82234,13403.44727,13771.45995,14418.07067
Philippines,PHL,5468.305507,5689.760941,6081.936667,6514.667171,6930.764463,7313.409805,7784.136699,8340.331331,8951.085654
Palau,PLW,13411.10076,14527.31939,15168.30838,15245.61141,16195.01252,17977.53101,18256.89903,17865.79081,18510.21566
Papua New Guinea,PNG,3039.786236,3069.758098,3206.196245,3318.804769,3763.077879,4081.298247,4209.043662,4353.283357,4336.244657
Poland,POL,21048.33052,22850.63885,23833.2097,24719.24751,25612.25783,26856.03522,27735.35085,29922.20498,31336.6035
Pre-demographic dividend,PRE,3187.988522,3310.32687,3471.687754,3638.133809,3767.703114,3819.812211,3894.830069,3919.523689,3985.944915
Puerto Rico,PRI,33229.92303,34195.65107,35286.05921,36207.67954,37053.7532,37715.36186,38383.03576,39006.3906,39540.58693
Portugal,PRT,27259.7661,26769.51189,26438.0163,27936.03966,28742.44038,29668.8592,31043.56386,32777.40197,33415.4379
Paraguay,PRY,9541.371804,10016.77037,10015.48605,10898.44902,11486.94437,11807.77259,12287.98588,12971.68385,13599.92656
West Bank and Gaza,PSE,3937.239913,4405.778573,4656.126176,4728.009206,4697.286797,4799.105387,4967.187882,5117.754563,5157.568578
Pacific island small states,PSS,4687.494899,4906.171306,4997.048539,5190.167324,5441.802743,5659.376835,5823.109935,6100.47862,6330.82474
Post-demographic dividend,PST,37773.21256,39204.53582,40244.68906,41669.57759,42846.08241,43943.7996,45125.47124,47055.58117,48705.20745
Qatar,QAT,117518.7009,124024.5682,122674.7237,122495.788,123308.2023,123822.0833,123573.6308,124609.3041,126898.4259
Romania,ROU,16966.46061,17907.67463,18931.5325,19797.37887,20623.32437,21631.77015,23868.0692,26631.87948,28206.35705
Russian Federation,RUS,20490.12944,24310.04397,25784.56716,26240.2745,25751.51414,24061.09937,24072.27793,25766.92881,27588.12544
Rwanda,RWA,1383.013387,1486.655474,1606.102664,1669.971866,1762.105585,1890.203675,1973.146966,2078.052755,2251.556388
South Asia,SAS,4112.321118,4351.006502,4614.423625,4915.528422,5288.857306,5671.434013,6097.572772,6562.46707,7084.490975
Saudi Arabia,SAU,44498.67574,48473.70921,50491.5474,51188.96364,52550.79246,53897.94398,54159.79239,53693.3697,55335.67959
Sudan,SDN,3327.142295,3643.092161,4152.156101,4306.149338,4397.809343,4551.996918,4703.856808,4880.261517,4767.689827
Senegal,SEN,2718.906572,2739.335655,2854.119263,2903.740826,3067.034049,3205.894499,3351.536617,3556.137758,3782.538613
